tag	name	text	class	description	position (top-left x&y)	size (w&h)
table-cell	H26	""			(741, 687)	(90, 21)
table-cell	I26	""			(831, 687)	(90, 21)
table-cell	J26	""			(921, 687)	(90, 21)
table-cell	K26	""			(1011, 687)	(90, 21)
table-cell	L26	""			(1101, 687)	(90, 21)
table-cell	M26	""			(1191, 687)	(90, 21)
table-cell	N26	""			(1281, 687)	(90, 21)
table-cell	O26	""			(1371, 687)	(90, 21)
table-cell	P26	""			(1461, 687)	(90, 21)
table-cell	Q26	""			(1551, 687)	(90, 21)
table-cell	R26	""			(1641, 687)	(90, 21)
table-cell	S26	""			(1731, 687)	(90, 21)
table-cell	T26	""			(1821, 687)	(28, 21)
table-cell	A27	""			(111, 708)	(90, 21)
table-cell	B27	""			(201, 708)	(90, 21)
table-cell	C27	""			(291, 708)	(90, 21)
table-cell	D27	""			(381, 708)	(90, 21)
table-cell	E27	""			(471, 708)	(90, 21)
table-cell	F27	""			(561, 708)	(90, 21)
table-cell	G27	""			(651, 708)	(90, 21)
table-cell	H27	""			(741, 708)	(90, 21)
table-cell	I27	""			(831, 708)	(90, 21)
table-cell	J27	""			(921, 708)	(90, 21)
table-cell	K27	""			(1011, 708)	(90, 21)
table-cell	L27	""			(1101, 708)	(90, 21)
table-cell	M27	""			(1191, 708)	(90, 21)
table-cell	N27	""			(1281, 708)	(90, 21)
table-cell	O27	""			(1371, 708)	(90, 21)
table-cell	P27	""			(1461, 708)	(90, 21)
table-cell	Q27	""			(1551, 708)	(90, 21)
table-cell	R27	""			(1641, 708)	(90, 21)
table-cell	S27	""			(1731, 708)	(90, 21)
table-cell	T27	""			(1821, 708)	(28, 21)
table-cell	A28	""			(111, 729)	(90, 21)
table-cell	B28	""			(201, 729)	(90, 21)
table-cell	C28	""			(291, 729)	(90, 21)
table-cell	D28	""			(381, 729)	(90, 21)
table-cell	E28	""			(471, 729)	(90, 21)
table-cell	F28	""			(561, 729)	(90, 21)
table-cell	G28	""			(651, 729)	(90, 21)
table-cell	H28	""			(741, 729)	(90, 21)
table-cell	I28	""			(831, 729)	(90, 21)
table-cell	J28	""			(921, 729)	(90, 21)
table-cell	K28	""			(1011, 729)	(90, 21)
table-cell	L28	""			(1101, 729)	(90, 21)
table-cell	M28	""			(1191, 729)	(90, 21)
table-cell	N28	""			(1281, 729)	(90, 21)
table-cell	O28	""			(1371, 729)	(90, 21)
table-cell	P28	""			(1461, 729)	(90, 21)
table-cell	Q28	""			(1551, 729)	(90, 21)
table-cell	R28	""			(1641, 729)	(90, 21)
table-cell	S28	""			(1731, 729)	(90, 21)
table-cell	T28	""			(1821, 729)	(28, 21)
table-cell	A29	""			(111, 750)	(90, 21)
table-cell	B29	""			(201, 750)	(90, 21)
table-cell	C29	""			(291, 750)	(90, 21)
table-cell	D29	""			(381, 750)	(90, 21)
table-cell	E29	""			(471, 750)	(90, 21)
table-cell	F29	""			(561, 750)	(90, 21)
table-cell	G29	""			(651, 750)	(90, 21)
table-cell	H29	""			(741, 750)	(90, 21)
table-cell	I29	""			(831, 750)	(90, 21)
table-cell	J29	""			(921, 750)	(90, 21)
table-cell	K29	""			(1011, 750)	(90, 21)
table-cell	L29	""			(1101, 750)	(90, 21)
table-cell	M29	""			(1191, 750)	(90, 21)
table-cell	N29	""			(1281, 750)	(90, 21)
table-cell	O29	""			(1371, 750)	(90, 21)
table-cell	P29	""			(1461, 750)	(90, 21)
table-cell	Q29	""			(1551, 750)	(90, 21)
table-cell	R29	""			(1641, 750)	(90, 21)
table-cell	S29	""			(1731, 750)	(90, 21)
table-cell	T29	""			(1821, 750)	(28, 21)
table-cell	A30	""			(111, 771)	(90, 21)
table-cell	B30	""			(201, 771)	(90, 21)
table-cell	C30	""			(291, 771)	(90, 21)
table-cell	D30	""			(381, 771)	(90, 21)
table-cell	E30	""			(471, 771)	(90, 21)
table-cell	F30	""			(561, 771)	(90, 21)
table-cell	G30	""			(651, 771)	(90, 21)
table-cell	H30	""			(741, 771)	(90, 21)
table-cell	I30	""			(831, 771)	(90, 21)
table-cell	J30	""			(921, 771)	(90, 21)
table-cell	K30	""			(1011, 771)	(90, 21)
table-cell	L30	""			(1101, 771)	(90, 21)
table-cell	M30	""			(1191, 771)	(90, 21)
table-cell	N30	""			(1281, 771)	(90, 21)
table-cell	O30	""			(1371, 771)	(90, 21)
table-cell	P30	""			(1461, 771)	(90, 21)
table-cell	Q30	""			(1551, 771)	(90, 21)
table-cell	R30	""			(1641, 771)	(90, 21)
table-cell	S30	""			(1731, 771)	(90, 21)
table-cell	T30	""			(1821, 771)	(28, 21)
table-cell	A31	""			(111, 792)	(90, 21)
table-cell	B31	""			(201, 792)	(90, 21)
table-cell	C31	""			(291, 792)	(90, 21)
table-cell	D31	""			(381, 792)	(90, 21)
table-cell	E31	""			(471, 792)	(90, 21)
table-cell	F31	""			(561, 792)	(90, 21)
table-cell	G31	""			(651, 792)	(90, 21)
table-cell	H31	""			(741, 792)	(90, 21)
table-cell	I31	""			(831, 792)	(90, 21)
table-cell	J31	""			(921, 792)	(90, 21)
table-cell	K31	""			(1011, 792)	(90, 21)
table-cell	L31	""			(1101, 792)	(90, 21)
table-cell	M31	""			(1191, 792)	(90, 21)
table-cell	N31	""			(1281, 792)	(90, 21)
table-cell	O31	""			(1371, 792)	(90, 21)
table-cell	P31	""			(1461, 792)	(90, 21)
table-cell	Q31	""			(1551, 792)	(90, 21)
table-cell	R31	""			(1641, 792)	(90, 21)
table-cell	S31	""			(1731, 792)	(90, 21)
table-cell	T31	""			(1821, 792)	(28, 21)
table-cell	A32	""			(111, 813)	(90, 21)
table-cell	B32	""			(201, 813)	(90, 21)
table-cell	C32	""			(291, 813)	(90, 21)
table-cell	D32	""			(381, 813)	(90, 21)
table-cell	E32	""			(471, 813)	(90, 21)
table-cell	F32	""			(561, 813)	(90, 21)
table-cell	G32	""			(651, 813)	(90, 21)
table-cell	H32	""			(741, 813)	(90, 21)
table-cell	I32	""			(831, 813)	(90, 21)
table-cell	J32	""			(921, 813)	(90, 21)
table-cell	K32	""			(1011, 813)	(90, 21)
table-cell	L32	""			(1101, 813)	(90, 21)
table-cell	M32	""			(1191, 813)	(90, 21)
table-cell	N32	""			(1281, 813)	(90, 21)
table-cell	O32	""			(1371, 813)	(90, 21)
table-cell	P32	""			(1461, 813)	(90, 21)
table-cell	Q32	""			(1551, 813)	(90, 21)
table-cell	R32	""			(1641, 813)	(90, 21)
table-cell	S32	""			(1731, 813)	(90, 21)
table-cell	T32	""			(1821, 813)	(28, 21)
table-cell	A33	""			(111, 834)	(90, 21)
table-cell	B33	""			(201, 834)	(90, 21)
table-cell	C33	""			(291, 834)	(90, 21)
table-cell	D33	""			(381, 834)	(90, 21)
table-cell	E33	""			(471, 834)	(90, 21)
table-cell	F33	""			(561, 834)	(90, 21)
table-cell	G33	""			(651, 834)	(90, 21)
table-cell	H33	""			(741, 834)	(90, 21)
table-cell	I33	""			(831, 834)	(90, 21)
table-cell	J33	""			(921, 834)	(90, 21)
table-cell	K33	""			(1011, 834)	(90, 21)
table-cell	L33	""			(1101, 834)	(90, 21)
table-cell	M33	""			(1191, 834)	(90, 21)
table-cell	N33	""			(1281, 834)	(90, 21)
table-cell	O33	""			(1371, 834)	(90, 21)
table-cell	P33	""			(1461, 834)	(90, 21)
table-cell	Q33	""			(1551, 834)	(90, 21)
table-cell	R33	""			(1641, 834)	(90, 21)
table-cell	S33	""			(1731, 834)	(90, 21)
table-cell	T33	""			(1821, 834)	(28, 21)
table-cell	A34	""			(111, 855)	(90, 21)
table-cell	B34	""			(201, 855)	(90, 21)
table-cell	C34	""			(291, 855)	(90, 21)
table-cell	D34	""			(381, 855)	(90, 21)
table-cell	E34	""			(471, 855)	(90, 21)
table-cell	F34	""			(561, 855)	(90, 21)
table-cell	G34	""			(651, 855)	(90, 21)
table-cell	H34	""			(741, 855)	(90, 21)
table-cell	I34	""			(831, 855)	(90, 21)
table-cell	J34	""			(921, 855)	(90, 21)
table-cell	K34	""			(1011, 855)	(90, 21)
table-cell	L34	""			(1101, 855)	(90, 21)
table-cell	M34	""			(1191, 855)	(90, 21)
table-cell	N34	""			(1281, 855)	(90, 21)
table-cell	O34	""			(1371, 855)	(90, 21)
table-cell	P34	""			(1461, 855)	(90, 21)
table-cell	Q34	""			(1551, 855)	(90, 21)
table-cell	R34	""			(1641, 855)	(90, 21)
table-cell	S34	""			(1731, 855)	(90, 21)
table-cell	T34	""			(1821, 855)	(28, 21)
table-cell	A35	""			(111, 876)	(90, 21)
table-cell	B35	""			(201, 876)	(90, 21)
table-cell	C35	""			(291, 876)	(90, 21)
table-cell	D35	""			(381, 876)	(90, 21)
table-cell	E35	""			(471, 876)	(90, 21)
table-cell	F35	""			(561, 876)	(90, 21)
table-cell	G35	""			(651, 876)	(90, 21)
table-cell	H35	""			(741, 876)	(90, 21)
table-cell	I35	""			(831, 876)	(90, 21)
table-cell	J35	""			(921, 876)	(90, 21)
table-cell	K35	""			(1011, 876)	(90, 21)
table-cell	L35	""			(1101, 876)	(90, 21)
table-cell	M35	""			(1191, 876)	(90, 21)
table-cell	N35	""			(1281, 876)	(90, 21)
table-cell	O35	""			(1371, 876)	(90, 21)
table-cell	P35	""			(1461, 876)	(90, 21)
table-cell	Q35	""			(1551, 876)	(90, 21)
table-cell	R35	""			(1641, 876)	(90, 21)
table-cell	S35	""			(1731, 876)	(90, 21)
table-cell	T35	""			(1821, 876)	(28, 21)
table-cell	A36	""			(111, 897)	(90, 21)
table-cell	B36	""			(201, 897)	(90, 21)
table-cell	C36	""			(291, 897)	(90, 21)
table-cell	D36	""			(381, 897)	(90, 21)
table-cell	E36	""			(471, 897)	(90, 21)
table-cell	F36	""			(561, 897)	(90, 21)
table-cell	G36	""			(651, 897)	(90, 21)
table-cell	H36	""			(741, 897)	(90, 21)
table-cell	I36	""			(831, 897)	(90, 21)
table-cell	J36	""			(921, 897)	(90, 21)
table-cell	K36	""			(1011, 897)	(90, 21)
table-cell	L36	""			(1101, 897)	(90, 21)
table-cell	M36	""			(1191, 897)	(90, 21)
table-cell	N36	""			(1281, 897)	(90, 21)
table-cell	O36	""			(1371, 897)	(90, 21)
table-cell	P36	""			(1461, 897)	(90, 21)
table-cell	Q36	""			(1551, 897)	(90, 21)
table-cell	R36	""			(1641, 897)	(90, 21)
table-cell	S36	""			(1731, 897)	(90, 21)
table-cell	T36	""			(1821, 897)	(28, 21)
table-cell	A37	""			(111, 918)	(90, 21)
table-cell	B37	""			(201, 918)	(90, 21)
table-cell	C37	""			(291, 918)	(90, 21)
table-cell	D37	""			(381, 918)	(90, 21)
table-cell	E37	""			(471, 918)	(90, 21)
table-cell	F37	""			(561, 918)	(90, 21)
table-cell	G37	""			(651, 918)	(90, 21)
table-cell	H37	""			(741, 918)	(90, 21)
table-cell	I37	""			(831, 918)	(90, 21)
table-cell	J37	""			(921, 918)	(90, 21)
table-cell	K37	""			(1011, 918)	(90, 21)
table-cell	L37	""			(1101, 918)	(90, 21)
table-cell	M37	""			(1191, 918)	(90, 21)
table-cell	N37	""			(1281, 918)	(90, 21)
table-cell	O37	""			(1371, 918)	(90, 21)
table-cell	P37	""			(1461, 918)	(90, 21)
table-cell	Q37	""			(1551, 918)	(90, 21)
table-cell	R37	""			(1641, 918)	(90, 21)
table-cell	S37	""			(1731, 918)	(90, 21)
table-cell	T37	""			(1821, 918)	(28, 21)
table-cell	A38	""			(111, 939)	(90, 21)
table-cell	B38	""			(201, 939)	(90, 21)
table-cell	C38	""			(291, 939)	(90, 21)
table-cell	D38	""			(381, 939)	(90, 21)
table-cell	E38	""			(471, 939)	(90, 21)
table-cell	F38	""			(561, 939)	(90, 21)
table-cell	G38	""			(651, 939)	(90, 21)
table-cell	H38	""			(741, 939)	(90, 21)
table-cell	I38	""			(831, 939)	(90, 21)
table-cell	J38	""			(921, 939)	(90, 21)
table-cell	K38	""			(1011, 939)	(90, 21)
table-cell	L38	""			(1101, 939)	(90, 21)
table-cell	M38	""			(1191, 939)	(90, 21)
table-cell	N38	""			(1281, 939)	(90, 21)
table-cell	O38	""			(1371, 939)	(90, 21)
table-cell	P38	""			(1461, 939)	(90, 21)
table-cell	Q38	""			(1551, 939)	(90, 21)
table-cell	R38	""			(1641, 939)	(90, 21)
table-cell	S38	""			(1731, 939)	(90, 21)
table-cell	T38	""			(1821, 939)	(28, 21)
table-cell	A39	""			(111, 960)	(90, 21)
table-cell	B39	""			(201, 960)	(90, 21)
table-cell	C39	""			(291, 960)	(90, 21)
table-cell	D39	""			(381, 960)	(90, 21)
table-cell	E39	""			(471, 960)	(90, 21)
table-cell	F39	""			(561, 960)	(90, 21)
table-cell	G39	""			(651, 960)	(90, 21)
table-cell	H39	""			(741, 960)	(90, 21)
table-cell	I39	""			(831, 960)	(90, 21)
table-cell	J39	""			(921, 960)	(90, 21)
table-cell	K39	""			(1011, 960)	(90, 21)
table-cell	L39	""			(1101, 960)	(90, 21)
table-cell	M39	""			(1191, 960)	(90, 21)
table-cell	N39	""			(1281, 960)	(90, 21)
table-cell	O39	""			(1371, 960)	(90, 21)
table-cell	P39	""			(1461, 960)	(90, 21)
table-cell	Q39	""			(1551, 960)	(90, 21)
table-cell	R39	""			(1641, 960)	(90, 21)
table-cell	S39	""			(1731, 960)	(90, 21)
table-cell	T39	""			(1821, 960)	(28, 21)
table-cell	A40	""			(111, 981)	(90, 16)
table-cell	B40	""			(201, 981)	(90, 16)
table-cell	C40	""			(291, 981)	(90, 16)
table-cell	D40	""			(381, 981)	(90, 16)
table-cell	E40	""			(471, 981)	(90, 16)
table-cell	F40	""			(561, 981)	(90, 16)
table-cell	G40	""			(651, 981)	(90, 16)
table-cell	H40	""			(741, 981)	(90, 16)
table-cell	I40	""			(831, 981)	(90, 16)
table-cell	J40	""			(921, 981)	(90, 16)
table-cell	K40	""			(1011, 981)	(90, 16)
table-cell	L40	""			(1101, 981)	(90, 16)
table-cell	M40	""			(1191, 981)	(90, 16)
table-cell	N40	""			(1281, 981)	(90, 16)
table-cell	O40	""			(1371, 981)	(90, 16)
table-cell	P40	""			(1461, 981)	(90, 16)
table-cell	Q40	""			(1551, 981)	(90, 16)
table-cell	R40	""			(1641, 981)	(90, 16)
table-cell	S40	""			(1731, 981)	(90, 16)
table-cell	T40	""			(1821, 981)	(28, 16)
document-frame	Chart	""			(205, 166)	(583, 341)
push-button	Add	""			(182, 1034)	(25, 25)
toggle-button	Menu	""			(1874, 132)	(36, 34)
text		A1			(74, 130)	(137, 34)
push-button	Function Wizard	""			(255, 108)	(25, 27)
push-button	Select Function	""			(280, 108)	(36, 27)
push-button	Formula	""			(316, 108)	(25, 27)
push-button	Save	""			(74, 66)	(44, 35)
push-button	Export Directly as PDF	""			(126, 66)	(33, 35)
push-button	Format Selection	""			(490, 66)	(33, 35)
push-button	Chart Type	""			(531, 66)	(33, 35)
push-button	Chart Area	""			(564, 66)	(33, 35)
push-button	Chart Wall	""			(597, 66)	(33, 35)
push-button	Data Ranges	""			(671, 66)	(33, 35)
push-button	Titles	""			(745, 66)	(33, 35)
push-button	Legend On/Off	""			(786, 66)	(33, 35)
push-button	Format Legend	""			(819, 66)	(33, 35)
push-button	Horizontal Grids	""			(860, 66)	(33, 35)
push-button	Vertical Grids	""			(893, 66)	(33, 35)
push-button	X Axis	""			(934, 66)	(33, 35)
push-button	Y Axis	""			(967, 66)	(33, 35)
push-button	All Axes	""			(1033, 66)	(33, 35)
label		Chart Area selected			(76, 1036)	(1816, 18)
label		*			(1898, 1036)	(16, 18)
label	Choose a Chart Type	Choose a Chart Type			(748, 378)	(696, 17)
table-cell	Column	Column			(771, 403)	(114, 21)
table-cell	Bar	Bar			(771, 426)	(114, 21)
table-cell	Pie	Pie			(771, 449)	(114, 21)
table-cell	Area	Area			(771, 472)	(114, 21)
table-cell	Line	Line			(771, 495)	(114, 21)
table-cell	XY (Scatter)	XY (Scatter)			(771, 518)	(114, 21)
table-cell	Bubble	Bubble			(771, 541)	(114, 21)
table-cell	Net	Net			(771, 564)	(114, 21)
table-cell	Stock	Stock			(771, 587)	(114, 21)
table-cell	Column and Line	Column and Line			(771, 610)	(114, 21)
table-cell	Bar	Bar			(923, 575)	(518, 21)
table-cell	Cylinder	Cylinder			(923, 598)	(518, 21)
table-cell	Cone	Cone			(923, 621)	(518, 21)
table-cell	Pyramid	Pyramid			(923, 644)	(518, 21)
check-box	3D Look	""			(900, 515)	(82, 34)
list-item	Normal	""			(902, 402)	(135, 91)
list-item	Stacked	""			(1037, 402)	(135, 91)
list-item	Percent Stacked	""			(1172, 402)	(135, 91)
push-button	Help	""			(736, 744)	(86, 34)
push-button	Finish	""			(1370, 744)	(86, 34)
push-button	Cancel	""			(1278, 744)	(86, 34)
push-button	Next >	""			(1186, 744)	(86, 34)
