tag	name	text	class	description	position (top-left x&y)	size (w&h)
table-cell	H26	""			(741, 712)	(90, 21)
table-cell	I26	""			(831, 712)	(90, 21)
table-cell	J26	""			(921, 712)	(90, 21)
table-cell	K26	""			(1011, 712)	(90, 21)
table-cell	L26	""			(1101, 712)	(90, 21)
table-cell	M26	""			(1191, 712)	(90, 21)
table-cell	N26	""			(1281, 712)	(90, 21)
table-cell	O26	""			(1371, 712)	(90, 21)
table-cell	P26	""			(1461, 712)	(90, 21)
table-cell	Q26	""			(1551, 712)	(90, 21)
table-cell	R26	""			(1641, 712)	(90, 21)
table-cell	S26	""			(1731, 712)	(90, 21)
table-cell	T26	""			(1821, 712)	(28, 21)
table-cell	A27	""			(111, 733)	(90, 21)
table-cell	B27	""			(201, 733)	(90, 21)
table-cell	C27	""			(291, 733)	(90, 21)
table-cell	D27	""			(381, 733)	(90, 21)
table-cell	E27	""			(471, 733)	(90, 21)
table-cell	F27	""			(561, 733)	(90, 21)
table-cell	G27	""			(651, 733)	(90, 21)
table-cell	H27	""			(741, 733)	(90, 21)
table-cell	I27	""			(831, 733)	(90, 21)
table-cell	J27	""			(921, 733)	(90, 21)
table-cell	K27	""			(1011, 733)	(90, 21)
table-cell	L27	""			(1101, 733)	(90, 21)
table-cell	M27	""			(1191, 733)	(90, 21)
table-cell	N27	""			(1281, 733)	(90, 21)
table-cell	O27	""			(1371, 733)	(90, 21)
table-cell	P27	""			(1461, 733)	(90, 21)
table-cell	Q27	""			(1551, 733)	(90, 21)
table-cell	R27	""			(1641, 733)	(90, 21)
table-cell	S27	""			(1731, 733)	(90, 21)
table-cell	T27	""			(1821, 733)	(28, 21)
table-cell	A28	""			(111, 754)	(90, 21)
table-cell	B28	""			(201, 754)	(90, 21)
table-cell	C28	""			(291, 754)	(90, 21)
table-cell	D28	""			(381, 754)	(90, 21)
table-cell	E28	""			(471, 754)	(90, 21)
table-cell	F28	""			(561, 754)	(90, 21)
table-cell	G28	""			(651, 754)	(90, 21)
table-cell	H28	""			(741, 754)	(90, 21)
table-cell	I28	""			(831, 754)	(90, 21)
table-cell	J28	""			(921, 754)	(90, 21)
table-cell	K28	""			(1011, 754)	(90, 21)
table-cell	L28	""			(1101, 754)	(90, 21)
table-cell	M28	""			(1191, 754)	(90, 21)
table-cell	N28	""			(1281, 754)	(90, 21)
table-cell	O28	""			(1371, 754)	(90, 21)
table-cell	P28	""			(1461, 754)	(90, 21)
table-cell	Q28	""			(1551, 754)	(90, 21)
table-cell	R28	""			(1641, 754)	(90, 21)
table-cell	S28	""			(1731, 754)	(90, 21)
table-cell	T28	""			(1821, 754)	(28, 21)
table-cell	A29	""			(111, 775)	(90, 21)
table-cell	B29	""			(201, 775)	(90, 21)
table-cell	C29	""			(291, 775)	(90, 21)
table-cell	D29	""			(381, 775)	(90, 21)
table-cell	E29	""			(471, 775)	(90, 21)
table-cell	F29	""			(561, 775)	(90, 21)
table-cell	G29	""			(651, 775)	(90, 21)
table-cell	H29	""			(741, 775)	(90, 21)
table-cell	I29	""			(831, 775)	(90, 21)
table-cell	J29	""			(921, 775)	(90, 21)
table-cell	K29	""			(1011, 775)	(90, 21)
table-cell	L29	""			(1101, 775)	(90, 21)
table-cell	M29	""			(1191, 775)	(90, 21)
table-cell	N29	""			(1281, 775)	(90, 21)
table-cell	O29	""			(1371, 775)	(90, 21)
table-cell	P29	""			(1461, 775)	(90, 21)
table-cell	Q29	""			(1551, 775)	(90, 21)
table-cell	R29	""			(1641, 775)	(90, 21)
table-cell	S29	""			(1731, 775)	(90, 21)
table-cell	T29	""			(1821, 775)	(28, 21)
table-cell	A30	""			(111, 796)	(90, 21)
table-cell	B30	""			(201, 796)	(90, 21)
table-cell	C30	""			(291, 796)	(90, 21)
table-cell	D30	""			(381, 796)	(90, 21)
table-cell	E30	""			(471, 796)	(90, 21)
table-cell	F30	""			(561, 796)	(90, 21)
table-cell	G30	""			(651, 796)	(90, 21)
table-cell	H30	""			(741, 796)	(90, 21)
table-cell	I30	""			(831, 796)	(90, 21)
table-cell	J30	""			(921, 796)	(90, 21)
table-cell	K30	""			(1011, 796)	(90, 21)
table-cell	L30	""			(1101, 796)	(90, 21)
table-cell	M30	""			(1191, 796)	(90, 21)
table-cell	N30	""			(1281, 796)	(90, 21)
table-cell	O30	""			(1371, 796)	(90, 21)
table-cell	P30	""			(1461, 796)	(90, 21)
table-cell	Q30	""			(1551, 796)	(90, 21)
table-cell	R30	""			(1641, 796)	(90, 21)
table-cell	S30	""			(1731, 796)	(90, 21)
table-cell	T30	""			(1821, 796)	(28, 21)
table-cell	A31	""			(111, 817)	(90, 21)
table-cell	B31	""			(201, 817)	(90, 21)
table-cell	C31	""			(291, 817)	(90, 21)
table-cell	D31	""			(381, 817)	(90, 21)
table-cell	E31	""			(471, 817)	(90, 21)
table-cell	F31	""			(561, 817)	(90, 21)
table-cell	G31	""			(651, 817)	(90, 21)
table-cell	H31	""			(741, 817)	(90, 21)
table-cell	I31	""			(831, 817)	(90, 21)
table-cell	J31	""			(921, 817)	(90, 21)
table-cell	K31	""			(1011, 817)	(90, 21)
table-cell	L31	""			(1101, 817)	(90, 21)
table-cell	M31	""			(1191, 817)	(90, 21)
table-cell	N31	""			(1281, 817)	(90, 21)
table-cell	O31	""			(1371, 817)	(90, 21)
table-cell	P31	""			(1461, 817)	(90, 21)
table-cell	Q31	""			(1551, 817)	(90, 21)
table-cell	R31	""			(1641, 817)	(90, 21)
table-cell	S31	""			(1731, 817)	(90, 21)
table-cell	T31	""			(1821, 817)	(28, 21)
table-cell	A32	""			(111, 838)	(90, 21)
table-cell	B32	""			(201, 838)	(90, 21)
table-cell	C32	""			(291, 838)	(90, 21)
table-cell	D32	""			(381, 838)	(90, 21)
table-cell	E32	""			(471, 838)	(90, 21)
table-cell	F32	""			(561, 838)	(90, 21)
table-cell	G32	""			(651, 838)	(90, 21)
table-cell	H32	""			(741, 838)	(90, 21)
table-cell	I32	""			(831, 838)	(90, 21)
table-cell	J32	""			(921, 838)	(90, 21)
table-cell	K32	""			(1011, 838)	(90, 21)
table-cell	L32	""			(1101, 838)	(90, 21)
table-cell	M32	""			(1191, 838)	(90, 21)
table-cell	N32	""			(1281, 838)	(90, 21)
table-cell	O32	""			(1371, 838)	(90, 21)
table-cell	P32	""			(1461, 838)	(90, 21)
table-cell	Q32	""			(1551, 838)	(90, 21)
table-cell	R32	""			(1641, 838)	(90, 21)
table-cell	S32	""			(1731, 838)	(90, 21)
table-cell	T32	""			(1821, 838)	(28, 21)
table-cell	A33	""			(111, 859)	(90, 21)
table-cell	B33	""			(201, 859)	(90, 21)
table-cell	C33	""			(291, 859)	(90, 21)
table-cell	D33	""			(381, 859)	(90, 21)
table-cell	E33	""			(471, 859)	(90, 21)
table-cell	F33	""			(561, 859)	(90, 21)
table-cell	G33	""			(651, 859)	(90, 21)
table-cell	H33	""			(741, 859)	(90, 21)
table-cell	I33	""			(831, 859)	(90, 21)
table-cell	J33	""			(921, 859)	(90, 21)
table-cell	K33	""			(1011, 859)	(90, 21)
table-cell	L33	""			(1101, 859)	(90, 21)
table-cell	M33	""			(1191, 859)	(90, 21)
table-cell	N33	""			(1281, 859)	(90, 21)
table-cell	O33	""			(1371, 859)	(90, 21)
table-cell	P33	""			(1461, 859)	(90, 21)
table-cell	Q33	""			(1551, 859)	(90, 21)
table-cell	R33	""			(1641, 859)	(90, 21)
table-cell	S33	""			(1731, 859)	(90, 21)
table-cell	T33	""			(1821, 859)	(28, 21)
table-cell	A34	""			(111, 880)	(90, 21)
table-cell	B34	""			(201, 880)	(90, 21)
table-cell	C34	""			(291, 880)	(90, 21)
table-cell	D34	""			(381, 880)	(90, 21)
table-cell	E34	""			(471, 880)	(90, 21)
table-cell	F34	""			(561, 880)	(90, 21)
table-cell	G34	""			(651, 880)	(90, 21)
table-cell	H34	""			(741, 880)	(90, 21)
table-cell	I34	""			(831, 880)	(90, 21)
table-cell	J34	""			(921, 880)	(90, 21)
table-cell	K34	""			(1011, 880)	(90, 21)
table-cell	L34	""			(1101, 880)	(90, 21)
table-cell	M34	""			(1191, 880)	(90, 21)
table-cell	N34	""			(1281, 880)	(90, 21)
table-cell	O34	""			(1371, 880)	(90, 21)
table-cell	P34	""			(1461, 880)	(90, 21)
table-cell	Q34	""			(1551, 880)	(90, 21)
table-cell	R34	""			(1641, 880)	(90, 21)
table-cell	S34	""			(1731, 880)	(90, 21)
table-cell	T34	""			(1821, 880)	(28, 21)
table-cell	A35	""			(111, 901)	(90, 21)
table-cell	B35	""			(201, 901)	(90, 21)
table-cell	C35	""			(291, 901)	(90, 21)
table-cell	D35	""			(381, 901)	(90, 21)
table-cell	E35	""			(471, 901)	(90, 21)
table-cell	F35	""			(561, 901)	(90, 21)
table-cell	G35	""			(651, 901)	(90, 21)
table-cell	H35	""			(741, 901)	(90, 21)
table-cell	I35	""			(831, 901)	(90, 21)
table-cell	J35	""			(921, 901)	(90, 21)
table-cell	K35	""			(1011, 901)	(90, 21)
table-cell	L35	""			(1101, 901)	(90, 21)
table-cell	M35	""			(1191, 901)	(90, 21)
table-cell	N35	""			(1281, 901)	(90, 21)
table-cell	O35	""			(1371, 901)	(90, 21)
table-cell	P35	""			(1461, 901)	(90, 21)
table-cell	Q35	""			(1551, 901)	(90, 21)
table-cell	R35	""			(1641, 901)	(90, 21)
table-cell	S35	""			(1731, 901)	(90, 21)
table-cell	T35	""			(1821, 901)	(28, 21)
table-cell	A36	""			(111, 922)	(90, 21)
table-cell	B36	""			(201, 922)	(90, 21)
table-cell	C36	""			(291, 922)	(90, 21)
table-cell	D36	""			(381, 922)	(90, 21)
table-cell	E36	""			(471, 922)	(90, 21)
table-cell	F36	""			(561, 922)	(90, 21)
table-cell	G36	""			(651, 922)	(90, 21)
table-cell	H36	""			(741, 922)	(90, 21)
table-cell	I36	""			(831, 922)	(90, 21)
table-cell	J36	""			(921, 922)	(90, 21)
table-cell	K36	""			(1011, 922)	(90, 21)
table-cell	L36	""			(1101, 922)	(90, 21)
table-cell	M36	""			(1191, 922)	(90, 21)
table-cell	N36	""			(1281, 922)	(90, 21)
table-cell	O36	""			(1371, 922)	(90, 21)
table-cell	P36	""			(1461, 922)	(90, 21)
table-cell	Q36	""			(1551, 922)	(90, 21)
table-cell	R36	""			(1641, 922)	(90, 21)
table-cell	S36	""			(1731, 922)	(90, 21)
table-cell	T36	""			(1821, 922)	(28, 21)
table-cell	A37	""			(111, 943)	(90, 21)
table-cell	B37	""			(201, 943)	(90, 21)
table-cell	C37	""			(291, 943)	(90, 21)
table-cell	D37	""			(381, 943)	(90, 21)
table-cell	E37	""			(471, 943)	(90, 21)
table-cell	F37	""			(561, 943)	(90, 21)
table-cell	G37	""			(651, 943)	(90, 21)
table-cell	H37	""			(741, 943)	(90, 21)
table-cell	I37	""			(831, 943)	(90, 21)
table-cell	J37	""			(921, 943)	(90, 21)
table-cell	K37	""			(1011, 943)	(90, 21)
table-cell	L37	""			(1101, 943)	(90, 21)
table-cell	M37	""			(1191, 943)	(90, 21)
table-cell	N37	""			(1281, 943)	(90, 21)
table-cell	O37	""			(1371, 943)	(90, 21)
table-cell	P37	""			(1461, 943)	(90, 21)
table-cell	Q37	""			(1551, 943)	(90, 21)
table-cell	R37	""			(1641, 943)	(90, 21)
table-cell	S37	""			(1731, 943)	(90, 21)
table-cell	T37	""			(1821, 943)	(28, 21)
table-cell	A38	""			(111, 964)	(90, 21)
table-cell	B38	""			(201, 964)	(90, 21)
table-cell	C38	""			(291, 964)	(90, 21)
table-cell	D38	""			(381, 964)	(90, 21)
table-cell	E38	""			(471, 964)	(90, 21)
table-cell	F38	""			(561, 964)	(90, 21)
table-cell	G38	""			(651, 964)	(90, 21)
table-cell	H38	""			(741, 964)	(90, 21)
table-cell	I38	""			(831, 964)	(90, 21)
table-cell	J38	""			(921, 964)	(90, 21)
table-cell	K38	""			(1011, 964)	(90, 21)
table-cell	L38	""			(1101, 964)	(90, 21)
table-cell	M38	""			(1191, 964)	(90, 21)
table-cell	N38	""			(1281, 964)	(90, 21)
table-cell	O38	""			(1371, 964)	(90, 21)
table-cell	P38	""			(1461, 964)	(90, 21)
table-cell	Q38	""			(1551, 964)	(90, 21)
table-cell	R38	""			(1641, 964)	(90, 21)
table-cell	S38	""			(1731, 964)	(90, 21)
table-cell	T38	""			(1821, 964)	(28, 21)
table-cell	A39	""			(111, 985)	(90, 21)
table-cell	B39	""			(201, 985)	(90, 21)
table-cell	C39	""			(291, 985)	(90, 21)
table-cell	D39	""			(381, 985)	(90, 21)
table-cell	E39	""			(471, 985)	(90, 21)
table-cell	F39	""			(561, 985)	(90, 21)
table-cell	G39	""			(651, 985)	(90, 21)
table-cell	H39	""			(741, 985)	(90, 21)
table-cell	I39	""			(831, 985)	(90, 21)
table-cell	J39	""			(921, 985)	(90, 21)
table-cell	K39	""			(1011, 985)	(90, 21)
table-cell	L39	""			(1101, 985)	(90, 21)
table-cell	M39	""			(1191, 985)	(90, 21)
table-cell	N39	""			(1281, 985)	(90, 21)
table-cell	O39	""			(1371, 985)	(90, 21)
table-cell	P39	""			(1461, 985)	(90, 21)
table-cell	Q39	""			(1551, 985)	(90, 21)
table-cell	R39	""			(1641, 985)	(90, 21)
table-cell	S39	""			(1731, 985)	(90, 21)
table-cell	T39	""			(1821, 985)	(28, 21)
table-cell	A40	""			(111, 1006)	(90, 16)
table-cell	B40	""			(201, 1006)	(90, 16)
table-cell	C40	""			(291, 1006)	(90, 16)
table-cell	D40	""			(381, 1006)	(90, 16)
table-cell	E40	""			(471, 1006)	(90, 16)
table-cell	F40	""			(561, 1006)	(90, 16)
table-cell	G40	""			(651, 1006)	(90, 16)
table-cell	H40	""			(741, 1006)	(90, 16)
table-cell	I40	""			(831, 1006)	(90, 16)
table-cell	J40	""			(921, 1006)	(90, 16)
table-cell	K40	""			(1011, 1006)	(90, 16)
table-cell	L40	""			(1101, 1006)	(90, 16)
table-cell	M40	""			(1191, 1006)	(90, 16)
table-cell	N40	""			(1281, 1006)	(90, 16)
table-cell	O40	""			(1371, 1006)	(90, 16)
table-cell	P40	""			(1461, 1006)	(90, 16)
table-cell	Q40	""			(1551, 1006)	(90, 16)
table-cell	R40	""			(1641, 1006)	(90, 16)
table-cell	S40	""			(1731, 1006)	(90, 16)
table-cell	T40	""			(1821, 1006)	(28, 16)
document-frame	Chart	""			(565, 212)	(583, 341)
push-button	Add	""			(182, 1034)	(25, 25)
toggle-button	Menu	""			(1874, 132)	(36, 34)
text		C2			(74, 130)	(137, 34)
push-button	Function Wizard	""			(255, 133)	(25, 27)
push-button	Select Function	""			(280, 133)	(36, 27)
push-button	Formula	""			(316, 133)	(25, 27)
paragraph		391			(348, 138)	(25, 18)
push-button	Save	""			(74, 91)	(44, 35)
push-button	Export Directly as PDF	""			(126, 91)	(33, 35)
push-button	Format Selection	""			(490, 91)	(33, 35)
push-button	Chart Type	""			(531, 91)	(33, 35)
push-button	Chart Area	""			(564, 91)	(33, 35)
push-button	Chart Wall	""			(597, 91)	(33, 35)
push-button	Data Ranges	""			(671, 91)	(33, 35)
push-button	Titles	""			(745, 91)	(33, 35)
push-button	Legend On/Off	""			(786, 91)	(33, 35)
push-button	Format Legend	""			(819, 91)	(33, 35)
push-button	Horizontal Grids	""			(860, 91)	(33, 35)
push-button	Vertical Grids	""			(893, 91)	(33, 35)
push-button	X Axis	""			(934, 91)	(33, 35)
push-button	Y Axis	""			(967, 91)	(33, 35)
push-button	All Axes	""			(1033, 91)	(33, 35)
label		Chart Area selected			(76, 1061)	(1816, 18)
label		*			(1898, 1061)	(16, 18)
label	Choose a Chart Type	Choose a Chart Type			(748, 378)	(696, 17)
table-cell	Column	Column			(771, 403)	(114, 21)
table-cell	Bar	Bar			(771, 426)	(114, 21)
table-cell	Pie	Pie			(771, 449)	(114, 21)
table-cell	Area	Area			(771, 472)	(114, 21)
table-cell	Line	Line			(771, 495)	(114, 21)
table-cell	XY (Scatter)	XY (Scatter)			(771, 518)	(114, 21)
table-cell	Bubble	Bubble			(771, 541)	(114, 21)
table-cell	Net	Net			(771, 564)	(114, 21)
table-cell	Stock	Stock			(771, 587)	(114, 21)
table-cell	Column and Line	Column and Line			(771, 610)	(114, 21)
table-cell	Bar	Bar			(923, 575)	(518, 21)
table-cell	Cylinder	Cylinder			(923, 598)	(518, 21)
table-cell	Cone	Cone			(923, 621)	(518, 21)
table-cell	Pyramid	Pyramid			(923, 644)	(518, 21)
check-box	3D Look	""			(900, 515)	(82, 34)
list-item	Normal	""			(902, 402)	(135, 91)
list-item	Stacked	""			(1037, 402)	(135, 91)
list-item	Percent Stacked	""			(1172, 402)	(135, 91)
push-button	Help	""			(736, 744)	(86, 34)
push-button	Finish	""			(1370, 744)	(86, 34)
push-button	Cancel	""			(1278, 744)	(86, 34)
push-button	Next >	""			(1186, 744)	(86, 34)
