Log not found for this step.tag	name	text	class	description	position (top-left x&y)	size (w&h)
table-cell	Q24	""			(1423, 615)	(77, 18)
table-cell	R24	""			(1500, 615)	(77, 18)
table-cell	S24	""			(1577, 615)	(77, 18)
table-cell	T24	""			(1654, 615)	(77, 18)
table-cell	U24	""			(1731, 615)	(77, 18)
table-cell	V24	""			(1808, 615)	(41, 18)
table-cell	A25	""			(111, 633)	(108, 18)
table-cell	B25	""			(219, 633)	(126, 18)
table-cell	C25	""			(345, 633)	(77, 18)
table-cell	D25	""			(422, 633)	(77, 18)
table-cell	E25	""			(499, 633)	(77, 18)
table-cell	F25	""			(576, 633)	(77, 18)
table-cell	G25	""			(653, 633)	(77, 18)
table-cell	H25	""			(730, 633)	(77, 18)
table-cell	I25	""			(807, 633)	(77, 18)
table-cell	J25	""			(884, 633)	(77, 18)
table-cell	K25	""			(961, 633)	(77, 18)
table-cell	L25	""			(1038, 633)	(77, 18)
table-cell	M25	""			(1115, 633)	(77, 18)
table-cell	N25	""			(1192, 633)	(77, 18)
table-cell	O25	""			(1269, 633)	(77, 18)
table-cell	P25	""			(1346, 633)	(77, 18)
table-cell	Q25	""			(1423, 633)	(77, 18)
table-cell	R25	""			(1500, 633)	(77, 18)
table-cell	S25	""			(1577, 633)	(77, 18)
table-cell	T25	""			(1654, 633)	(77, 18)
table-cell	U25	""			(1731, 633)	(77, 18)
table-cell	V25	""			(1808, 633)	(41, 18)
table-cell	A26	""			(111, 651)	(108, 18)
table-cell	B26	""			(219, 651)	(126, 18)
table-cell	C26	""			(345, 651)	(77, 18)
table-cell	D26	""			(422, 651)	(77, 18)
table-cell	E26	""			(499, 651)	(77, 18)
table-cell	F26	""			(576, 651)	(77, 18)
table-cell	G26	""			(653, 651)	(77, 18)
table-cell	H26	""			(730, 651)	(77, 18)
table-cell	I26	""			(807, 651)	(77, 18)
table-cell	J26	""			(884, 651)	(77, 18)
table-cell	K26	""			(961, 651)	(77, 18)
table-cell	L26	""			(1038, 651)	(77, 18)
table-cell	M26	""			(1115, 651)	(77, 18)
table-cell	N26	""			(1192, 651)	(77, 18)
table-cell	O26	""			(1269, 651)	(77, 18)
table-cell	P26	""			(1346, 651)	(77, 18)
table-cell	Q26	""			(1423, 651)	(77, 18)
table-cell	R26	""			(1500, 651)	(77, 18)
table-cell	S26	""			(1577, 651)	(77, 18)
table-cell	T26	""			(1654, 651)	(77, 18)
table-cell	U26	""			(1731, 651)	(77, 18)
table-cell	V26	""			(1808, 651)	(41, 18)
table-cell	A27	""			(111, 669)	(108, 18)
table-cell	B27	""			(219, 669)	(126, 18)
table-cell	C27	""			(345, 669)	(77, 18)
table-cell	D27	""			(422, 669)	(77, 18)
table-cell	E27	""			(499, 669)	(77, 18)
table-cell	F27	""			(576, 669)	(77, 18)
table-cell	G27	""			(653, 669)	(77, 18)
table-cell	H27	""			(730, 669)	(77, 18)
table-cell	I27	""			(807, 669)	(77, 18)
table-cell	J27	""			(884, 669)	(77, 18)
table-cell	K27	""			(961, 669)	(77, 18)
table-cell	L27	""			(1038, 669)	(77, 18)
table-cell	M27	""			(1115, 669)	(77, 18)
table-cell	N27	""			(1192, 669)	(77, 18)
table-cell	O27	""			(1269, 669)	(77, 18)
table-cell	P27	""			(1346, 669)	(77, 18)
table-cell	Q27	""			(1423, 669)	(77, 18)
table-cell	R27	""			(1500, 669)	(77, 18)
table-cell	S27	""			(1577, 669)	(77, 18)
table-cell	T27	""			(1654, 669)	(77, 18)
table-cell	U27	""			(1731, 669)	(77, 18)
table-cell	V27	""			(1808, 669)	(41, 18)
table-cell	A28	""			(111, 687)	(108, 18)
table-cell	B28	""			(219, 687)	(126, 18)
table-cell	C28	""			(345, 687)	(77, 18)
table-cell	D28	""			(422, 687)	(77, 18)
table-cell	E28	""			(499, 687)	(77, 18)
table-cell	F28	""			(576, 687)	(77, 18)
table-cell	G28	""			(653, 687)	(77, 18)
table-cell	H28	""			(730, 687)	(77, 18)
table-cell	I28	""			(807, 687)	(77, 18)
table-cell	J28	""			(884, 687)	(77, 18)
table-cell	K28	""			(961, 687)	(77, 18)
table-cell	L28	""			(1038, 687)	(77, 18)
table-cell	M28	""			(1115, 687)	(77, 18)
table-cell	N28	""			(1192, 687)	(77, 18)
table-cell	O28	""			(1269, 687)	(77, 18)
table-cell	P28	""			(1346, 687)	(77, 18)
table-cell	Q28	""			(1423, 687)	(77, 18)
table-cell	R28	""			(1500, 687)	(77, 18)
table-cell	S28	""			(1577, 687)	(77, 18)
table-cell	T28	""			(1654, 687)	(77, 18)
table-cell	U28	""			(1731, 687)	(77, 18)
table-cell	V28	""			(1808, 687)	(41, 18)
table-cell	A29	""			(111, 705)	(108, 18)
table-cell	B29	""			(219, 705)	(126, 18)
table-cell	C29	""			(345, 705)	(77, 18)
table-cell	D29	""			(422, 705)	(77, 18)
table-cell	E29	""			(499, 705)	(77, 18)
table-cell	F29	""			(576, 705)	(77, 18)
table-cell	G29	""			(653, 705)	(77, 18)
table-cell	H29	""			(730, 705)	(77, 18)
table-cell	I29	""			(807, 705)	(77, 18)
table-cell	J29	""			(884, 705)	(77, 18)
table-cell	K29	""			(961, 705)	(77, 18)
table-cell	L29	""			(1038, 705)	(77, 18)
table-cell	M29	""			(1115, 705)	(77, 18)
table-cell	N29	""			(1192, 705)	(77, 18)
table-cell	O29	""			(1269, 705)	(77, 18)
table-cell	P29	""			(1346, 705)	(77, 18)
table-cell	Q29	""			(1423, 705)	(77, 18)
table-cell	R29	""			(1500, 705)	(77, 18)
table-cell	S29	""			(1577, 705)	(77, 18)
table-cell	T29	""			(1654, 705)	(77, 18)
table-cell	U29	""			(1731, 705)	(77, 18)
table-cell	V29	""			(1808, 705)	(41, 18)
table-cell	A30	""			(111, 723)	(108, 18)
table-cell	B30	""			(219, 723)	(126, 18)
table-cell	C30	""			(345, 723)	(77, 18)
table-cell	D30	""			(422, 723)	(77, 18)
table-cell	E30	""			(499, 723)	(77, 18)
table-cell	F30	""			(576, 723)	(77, 18)
table-cell	G30	""			(653, 723)	(77, 18)
table-cell	H30	""			(730, 723)	(77, 18)
table-cell	I30	""			(807, 723)	(77, 18)
table-cell	J30	""			(884, 723)	(77, 18)
table-cell	K30	""			(961, 723)	(77, 18)
table-cell	L30	""			(1038, 723)	(77, 18)
table-cell	M30	""			(1115, 723)	(77, 18)
table-cell	N30	""			(1192, 723)	(77, 18)
table-cell	O30	""			(1269, 723)	(77, 18)
table-cell	P30	""			(1346, 723)	(77, 18)
table-cell	Q30	""			(1423, 723)	(77, 18)
table-cell	R30	""			(1500, 723)	(77, 18)
table-cell	S30	""			(1577, 723)	(77, 18)
table-cell	T30	""			(1654, 723)	(77, 18)
table-cell	U30	""			(1731, 723)	(77, 18)
table-cell	V30	""			(1808, 723)	(41, 18)
table-cell	A31	""			(111, 741)	(108, 18)
table-cell	B31	""			(219, 741)	(126, 18)
table-cell	C31	""			(345, 741)	(77, 18)
table-cell	D31	""			(422, 741)	(77, 18)
table-cell	E31	""			(499, 741)	(77, 18)
table-cell	F31	""			(576, 741)	(77, 18)
table-cell	G31	""			(653, 741)	(77, 18)
table-cell	H31	""			(730, 741)	(77, 18)
table-cell	I31	""			(807, 741)	(77, 18)
table-cell	J31	""			(884, 741)	(77, 18)
table-cell	K31	""			(961, 741)	(77, 18)
table-cell	L31	""			(1038, 741)	(77, 18)
table-cell	M31	""			(1115, 741)	(77, 18)
table-cell	N31	""			(1192, 741)	(77, 18)
table-cell	O31	""			(1269, 741)	(77, 18)
table-cell	P31	""			(1346, 741)	(77, 18)
table-cell	Q31	""			(1423, 741)	(77, 18)
table-cell	R31	""			(1500, 741)	(77, 18)
table-cell	S31	""			(1577, 741)	(77, 18)
table-cell	T31	""			(1654, 741)	(77, 18)
table-cell	U31	""			(1731, 741)	(77, 18)
table-cell	V31	""			(1808, 741)	(41, 18)
table-cell	A32	""			(111, 759)	(108, 18)
table-cell	B32	""			(219, 759)	(126, 18)
table-cell	C32	""			(345, 759)	(77, 18)
table-cell	D32	""			(422, 759)	(77, 18)
table-cell	E32	""			(499, 759)	(77, 18)
table-cell	F32	""			(576, 759)	(77, 18)
table-cell	G32	""			(653, 759)	(77, 18)
table-cell	H32	""			(730, 759)	(77, 18)
table-cell	I32	""			(807, 759)	(77, 18)
table-cell	J32	""			(884, 759)	(77, 18)
table-cell	K32	""			(961, 759)	(77, 18)
table-cell	L32	""			(1038, 759)	(77, 18)
table-cell	M32	""			(1115, 759)	(77, 18)
table-cell	N32	""			(1192, 759)	(77, 18)
table-cell	O32	""			(1269, 759)	(77, 18)
table-cell	P32	""			(1346, 759)	(77, 18)
table-cell	Q32	""			(1423, 759)	(77, 18)
table-cell	R32	""			(1500, 759)	(77, 18)
table-cell	S32	""			(1577, 759)	(77, 18)
table-cell	T32	""			(1654, 759)	(77, 18)
table-cell	U32	""			(1731, 759)	(77, 18)
table-cell	V32	""			(1808, 759)	(41, 18)
table-cell	A33	""			(111, 777)	(108, 18)
table-cell	B33	""			(219, 777)	(126, 18)
table-cell	C33	""			(345, 777)	(77, 18)
table-cell	D33	""			(422, 777)	(77, 18)
table-cell	E33	""			(499, 777)	(77, 18)
table-cell	F33	""			(576, 777)	(77, 18)
table-cell	G33	""			(653, 777)	(77, 18)
table-cell	H33	""			(730, 777)	(77, 18)
table-cell	I33	""			(807, 777)	(77, 18)
table-cell	J33	""			(884, 777)	(77, 18)
table-cell	K33	""			(961, 777)	(77, 18)
table-cell	L33	""			(1038, 777)	(77, 18)
table-cell	M33	""			(1115, 777)	(77, 18)
table-cell	N33	""			(1192, 777)	(77, 18)
table-cell	O33	""			(1269, 777)	(77, 18)
table-cell	P33	""			(1346, 777)	(77, 18)
table-cell	Q33	""			(1423, 777)	(77, 18)
table-cell	R33	""			(1500, 777)	(77, 18)
table-cell	S33	""			(1577, 777)	(77, 18)
table-cell	T33	""			(1654, 777)	(77, 18)
table-cell	U33	""			(1731, 777)	(77, 18)
table-cell	V33	""			(1808, 777)	(41, 18)
table-cell	A34	""			(111, 795)	(108, 18)
table-cell	B34	""			(219, 795)	(126, 18)
table-cell	C34	""			(345, 795)	(77, 18)
table-cell	D34	""			(422, 795)	(77, 18)
table-cell	E34	""			(499, 795)	(77, 18)
table-cell	F34	""			(576, 795)	(77, 18)
table-cell	G34	""			(653, 795)	(77, 18)
table-cell	H34	""			(730, 795)	(77, 18)
table-cell	I34	""			(807, 795)	(77, 18)
table-cell	J34	""			(884, 795)	(77, 18)
table-cell	K34	""			(961, 795)	(77, 18)
table-cell	L34	""			(1038, 795)	(77, 18)
table-cell	M34	""			(1115, 795)	(77, 18)
table-cell	N34	""			(1192, 795)	(77, 18)
table-cell	O34	""			(1269, 795)	(77, 18)
table-cell	P34	""			(1346, 795)	(77, 18)
table-cell	Q34	""			(1423, 795)	(77, 18)
table-cell	R34	""			(1500, 795)	(77, 18)
table-cell	S34	""			(1577, 795)	(77, 18)
table-cell	T34	""			(1654, 795)	(77, 18)
table-cell	U34	""			(1731, 795)	(77, 18)
table-cell	V34	""			(1808, 795)	(41, 18)
table-cell	A35	""			(111, 813)	(108, 18)
table-cell	B35	""			(219, 813)	(126, 18)
table-cell	C35	""			(345, 813)	(77, 18)
table-cell	D35	""			(422, 813)	(77, 18)
table-cell	E35	""			(499, 813)	(77, 18)
table-cell	F35	""			(576, 813)	(77, 18)
table-cell	G35	""			(653, 813)	(77, 18)
table-cell	H35	""			(730, 813)	(77, 18)
table-cell	I35	""			(807, 813)	(77, 18)
table-cell	J35	""			(884, 813)	(77, 18)
table-cell	K35	""			(961, 813)	(77, 18)
table-cell	L35	""			(1038, 813)	(77, 18)
table-cell	M35	""			(1115, 813)	(77, 18)
table-cell	N35	""			(1192, 813)	(77, 18)
table-cell	O35	""			(1269, 813)	(77, 18)
table-cell	P35	""			(1346, 813)	(77, 18)
table-cell	Q35	""			(1423, 813)	(77, 18)
table-cell	R35	""			(1500, 813)	(77, 18)
table-cell	S35	""			(1577, 813)	(77, 18)
table-cell	T35	""			(1654, 813)	(77, 18)
table-cell	U35	""			(1731, 813)	(77, 18)
table-cell	V35	""			(1808, 813)	(41, 18)
table-cell	A36	""			(111, 831)	(108, 18)
table-cell	B36	""			(219, 831)	(126, 18)
table-cell	C36	""			(345, 831)	(77, 18)
table-cell	D36	""			(422, 831)	(77, 18)
table-cell	E36	""			(499, 831)	(77, 18)
table-cell	F36	""			(576, 831)	(77, 18)
table-cell	G36	""			(653, 831)	(77, 18)
table-cell	H36	""			(730, 831)	(77, 18)
table-cell	I36	""			(807, 831)	(77, 18)
table-cell	J36	""			(884, 831)	(77, 18)
table-cell	K36	""			(961, 831)	(77, 18)
table-cell	L36	""			(1038, 831)	(77, 18)
table-cell	M36	""			(1115, 831)	(77, 18)
table-cell	N36	""			(1192, 831)	(77, 18)
table-cell	O36	""			(1269, 831)	(77, 18)
table-cell	P36	""			(1346, 831)	(77, 18)
table-cell	Q36	""			(1423, 831)	(77, 18)
table-cell	R36	""			(1500, 831)	(77, 18)
table-cell	S36	""			(1577, 831)	(77, 18)
table-cell	T36	""			(1654, 831)	(77, 18)
table-cell	U36	""			(1731, 831)	(77, 18)
table-cell	V36	""			(1808, 831)	(41, 18)
table-cell	A37	""			(111, 849)	(108, 18)
table-cell	B37	""			(219, 849)	(126, 18)
table-cell	C37	""			(345, 849)	(77, 18)
table-cell	D37	""			(422, 849)	(77, 18)
table-cell	E37	""			(499, 849)	(77, 18)
table-cell	F37	""			(576, 849)	(77, 18)
table-cell	G37	""			(653, 849)	(77, 18)
table-cell	H37	""			(730, 849)	(77, 18)
table-cell	I37	""			(807, 849)	(77, 18)
table-cell	J37	""			(884, 849)	(77, 18)
table-cell	K37	""			(961, 849)	(77, 18)
table-cell	L37	""			(1038, 849)	(77, 18)
table-cell	M37	""			(1115, 849)	(77, 18)
table-cell	N37	""			(1192, 849)	(77, 18)
table-cell	O37	""			(1269, 849)	(77, 18)
table-cell	P37	""			(1346, 849)	(77, 18)
table-cell	Q37	""			(1423, 849)	(77, 18)
table-cell	R37	""			(1500, 849)	(77, 18)
table-cell	S37	""			(1577, 849)	(77, 18)
table-cell	T37	""			(1654, 849)	(77, 18)
table-cell	U37	""			(1731, 849)	(77, 18)
table-cell	V37	""			(1808, 849)	(41, 18)
table-cell	A38	""			(111, 867)	(108, 18)
table-cell	B38	""			(219, 867)	(126, 18)
table-cell	C38	""			(345, 867)	(77, 18)
table-cell	D38	""			(422, 867)	(77, 18)
table-cell	E38	""			(499, 867)	(77, 18)
table-cell	F38	""			(576, 867)	(77, 18)
table-cell	G38	""			(653, 867)	(77, 18)
table-cell	H38	""			(730, 867)	(77, 18)
table-cell	I38	""			(807, 867)	(77, 18)
table-cell	J38	""			(884, 867)	(77, 18)
table-cell	K38	""			(961, 867)	(77, 18)
table-cell	L38	""			(1038, 867)	(77, 18)
table-cell	M38	""			(1115, 867)	(77, 18)
table-cell	N38	""			(1192, 867)	(77, 18)
table-cell	O38	""			(1269, 867)	(77, 18)
table-cell	P38	""			(1346, 867)	(77, 18)
table-cell	Q38	""			(1423, 867)	(77, 18)
table-cell	R38	""			(1500, 867)	(77, 18)
table-cell	S38	""			(1577, 867)	(77, 18)
table-cell	T38	""			(1654, 867)	(77, 18)
table-cell	U38	""			(1731, 867)	(77, 18)
table-cell	V38	""			(1808, 867)	(41, 18)
table-cell	A39	""			(111, 885)	(108, 18)
table-cell	B39	""			(219, 885)	(126, 18)
table-cell	C39	""			(345, 885)	(77, 18)
table-cell	D39	""			(422, 885)	(77, 18)
table-cell	E39	""			(499, 885)	(77, 18)
table-cell	F39	""			(576, 885)	(77, 18)
table-cell	G39	""			(653, 885)	(77, 18)
table-cell	H39	""			(730, 885)	(77, 18)
table-cell	I39	""			(807, 885)	(77, 18)
table-cell	J39	""			(884, 885)	(77, 18)
table-cell	K39	""			(961, 885)	(77, 18)
table-cell	L39	""			(1038, 885)	(77, 18)
table-cell	M39	""			(1115, 885)	(77, 18)
table-cell	N39	""			(1192, 885)	(77, 18)
table-cell	O39	""			(1269, 885)	(77, 18)
table-cell	P39	""			(1346, 885)	(77, 18)
table-cell	Q39	""			(1423, 885)	(77, 18)
table-cell	R39	""			(1500, 885)	(77, 18)
table-cell	S39	""			(1577, 885)	(77, 18)
table-cell	T39	""			(1654, 885)	(77, 18)
table-cell	U39	""			(1731, 885)	(77, 18)
table-cell	V39	""			(1808, 885)	(41, 18)
table-cell	A40	""			(111, 903)	(108, 18)
table-cell	B40	""			(219, 903)	(126, 18)
table-cell	C40	""			(345, 903)	(77, 18)
table-cell	D40	""			(422, 903)	(77, 18)
table-cell	E40	""			(499, 903)	(77, 18)
table-cell	F40	""			(576, 903)	(77, 18)
table-cell	G40	""			(653, 903)	(77, 18)
table-cell	H40	""			(730, 903)	(77, 18)
table-cell	I40	""			(807, 903)	(77, 18)
table-cell	J40	""			(884, 903)	(77, 18)
table-cell	K40	""			(961, 903)	(77, 18)
table-cell	L40	""			(1038, 903)	(77, 18)
table-cell	M40	""			(1115, 903)	(77, 18)
table-cell	N40	""			(1192, 903)	(77, 18)
table-cell	O40	""			(1269, 903)	(77, 18)
table-cell	P40	""			(1346, 903)	(77, 18)
table-cell	Q40	""			(1423, 903)	(77, 18)
table-cell	R40	""			(1500, 903)	(77, 18)
table-cell	S40	""			(1577, 903)	(77, 18)
table-cell	T40	""			(1654, 903)	(77, 18)
table-cell	U40	""			(1731, 903)	(77, 18)
table-cell	V40	""			(1808, 903)	(41, 18)
table-cell	A41	""			(111, 921)	(108, 18)
table-cell	B41	""			(219, 921)	(126, 18)
table-cell	C41	""			(345, 921)	(77, 18)
table-cell	D41	""			(422, 921)	(77, 18)
table-cell	E41	""			(499, 921)	(77, 18)
table-cell	F41	""			(576, 921)	(77, 18)
table-cell	G41	""			(653, 921)	(77, 18)
table-cell	H41	""			(730, 921)	(77, 18)
table-cell	I41	""			(807, 921)	(77, 18)
table-cell	J41	""			(884, 921)	(77, 18)
table-cell	K41	""			(961, 921)	(77, 18)
table-cell	L41	""			(1038, 921)	(77, 18)
table-cell	M41	""			(1115, 921)	(77, 18)
table-cell	N41	""			(1192, 921)	(77, 18)
table-cell	O41	""			(1269, 921)	(77, 18)
table-cell	P41	""			(1346, 921)	(77, 18)
table-cell	Q41	""			(1423, 921)	(77, 18)
table-cell	R41	""			(1500, 921)	(77, 18)
table-cell	S41	""			(1577, 921)	(77, 18)
table-cell	T41	""			(1654, 921)	(77, 18)
table-cell	U41	""			(1731, 921)	(77, 18)
table-cell	V41	""			(1808, 921)	(41, 18)
table-cell	A42	""			(111, 939)	(108, 18)
table-cell	B42	""			(219, 939)	(126, 18)
table-cell	C42	""			(345, 939)	(77, 18)
table-cell	D42	""			(422, 939)	(77, 18)
table-cell	E42	""			(499, 939)	(77, 18)
table-cell	F42	""			(576, 939)	(77, 18)
table-cell	G42	""			(653, 939)	(77, 18)
table-cell	H42	""			(730, 939)	(77, 18)
table-cell	I42	""			(807, 939)	(77, 18)
table-cell	J42	""			(884, 939)	(77, 18)
table-cell	K42	""			(961, 939)	(77, 18)
table-cell	L42	""			(1038, 939)	(77, 18)
table-cell	M42	""			(1115, 939)	(77, 18)
table-cell	N42	""			(1192, 939)	(77, 18)
table-cell	O42	""			(1269, 939)	(77, 18)
table-cell	P42	""			(1346, 939)	(77, 18)
table-cell	Q42	""			(1423, 939)	(77, 18)
table-cell	R42	""			(1500, 939)	(77, 18)
table-cell	S42	""			(1577, 939)	(77, 18)
table-cell	T42	""			(1654, 939)	(77, 18)
table-cell	U42	""			(1731, 939)	(77, 18)
table-cell	V42	""			(1808, 939)	(41, 18)
table-cell	A43	""			(111, 957)	(108, 18)
table-cell	B43	""			(219, 957)	(126, 18)
table-cell	C43	""			(345, 957)	(77, 18)
table-cell	D43	""			(422, 957)	(77, 18)
table-cell	E43	""			(499, 957)	(77, 18)
table-cell	F43	""			(576, 957)	(77, 18)
table-cell	G43	""			(653, 957)	(77, 18)
table-cell	H43	""			(730, 957)	(77, 18)
table-cell	I43	""			(807, 957)	(77, 18)
table-cell	J43	""			(884, 957)	(77, 18)
table-cell	K43	""			(961, 957)	(77, 18)
table-cell	L43	""			(1038, 957)	(77, 18)
table-cell	M43	""			(1115, 957)	(77, 18)
table-cell	N43	""			(1192, 957)	(77, 18)
table-cell	O43	""			(1269, 957)	(77, 18)
table-cell	P43	""			(1346, 957)	(77, 18)
table-cell	Q43	""			(1423, 957)	(77, 18)
table-cell	R43	""			(1500, 957)	(77, 18)
table-cell	S43	""			(1577, 957)	(77, 18)
table-cell	T43	""			(1654, 957)	(77, 18)
table-cell	U43	""			(1731, 957)	(77, 18)
table-cell	V43	""			(1808, 957)	(41, 18)
table-cell	A44	""			(111, 975)	(108, 18)
table-cell	B44	""			(219, 975)	(126, 18)
table-cell	C44	""			(345, 975)	(77, 18)
table-cell	D44	""			(422, 975)	(77, 18)
table-cell	E44	""			(499, 975)	(77, 18)
table-cell	F44	""			(576, 975)	(77, 18)
table-cell	G44	""			(653, 975)	(77, 18)
table-cell	H44	""			(730, 975)	(77, 18)
table-cell	I44	""			(807, 975)	(77, 18)
table-cell	J44	""			(884, 975)	(77, 18)
table-cell	K44	""			(961, 975)	(77, 18)
table-cell	L44	""			(1038, 975)	(77, 18)
table-cell	M44	""			(1115, 975)	(77, 18)
table-cell	N44	""			(1192, 975)	(77, 18)
table-cell	O44	""			(1269, 975)	(77, 18)
table-cell	P44	""			(1346, 975)	(77, 18)
table-cell	Q44	""			(1423, 975)	(77, 18)
table-cell	R44	""			(1500, 975)	(77, 18)
table-cell	S44	""			(1577, 975)	(77, 18)
table-cell	T44	""			(1654, 975)	(77, 18)
table-cell	U44	""			(1731, 975)	(77, 18)
table-cell	V44	""			(1808, 975)	(41, 18)
table-cell	A45	""			(111, 993)	(108, 4)
table-cell	B45	""			(219, 993)	(126, 4)
table-cell	C45	""			(345, 993)	(77, 4)
table-cell	D45	""			(422, 993)	(77, 4)
table-cell	E45	""			(499, 993)	(77, 4)
table-cell	F45	""			(576, 993)	(77, 4)
table-cell	G45	""			(653, 993)	(77, 4)
table-cell	H45	""			(730, 993)	(77, 4)
table-cell	I45	""			(807, 993)	(77, 4)
table-cell	J45	""			(884, 993)	(77, 4)
table-cell	K45	""			(961, 993)	(77, 4)
table-cell	L45	""			(1038, 993)	(77, 4)
table-cell	M45	""			(1115, 993)	(77, 4)
table-cell	N45	""			(1192, 993)	(77, 4)
table-cell	O45	""			(1269, 993)	(77, 4)
table-cell	P45	""			(1346, 993)	(77, 4)
table-cell	Q45	""			(1423, 993)	(77, 4)
table-cell	R45	""			(1500, 993)	(77, 4)
table-cell	S45	""			(1577, 993)	(77, 4)
table-cell	T45	""			(1654, 993)	(77, 4)
table-cell	U45	""			(1731, 993)	(77, 4)
table-cell	V45	""			(1808, 993)	(41, 4)
push-button	Add	""			(182, 1034)	(25, 25)
toggle-button	Menu	""			(1874, 171)	(36, 34)
text		H10			(74, 169)	(137, 34)
push-button	Function Wizard	""			(255, 147)	(25, 27)
push-button	Select Function	""			(280, 147)	(36, 27)
push-button	Formula	""			(316, 147)	(25, 27)
push-button	New	""			(74, 66)	(44, 35)
push-button	Open	""			(118, 66)	(44, 35)
push-button	Save	""			(162, 66)	(44, 35)
push-button	Export Directly as PDF	""			(214, 66)	(33, 35)
push-button	Print	""			(247, 66)	(33, 35)
toggle-button	Print Preview	""			(280, 66)	(33, 35)
push-button	Cut	""			(321, 66)	(33, 35)
push-button	Copy	""			(354, 66)	(33, 35)
push-button	Clone	""			(439, 66)	(33, 35)
push-button	Clear	""			(472, 66)	(33, 35)
toggle-button	Find and Replace	""			(609, 66)	(33, 35)
push-button	Spelling	""			(642, 66)	(33, 35)
push-button	Row	""			(683, 66)	(44, 35)
push-button	Column	""			(727, 66)	(44, 35)
push-button	Sort	""			(779, 66)	(33, 35)
push-button	Sort Ascending	""			(812, 66)	(33, 35)
push-button	Sort Descending	""			(845, 66)	(33, 35)
push-button	AutoFilter	""			(878, 66)	(33, 35)
push-button	Image	""			(919, 66)	(33, 35)
push-button	Chart	""			(952, 66)	(33, 35)
push-button	Pivot Table	""			(985, 66)	(33, 35)
push-button	Symbol	""			(1026, 66)	(44, 35)
toggle-button	Hyperlink	""			(1070, 66)	(33, 35)
push-button	Comment	""			(1103, 66)	(33, 35)
push-button	Print Area	""			(1177, 66)	(33, 35)
push-button	Freeze Rows and Columns	""			(1210, 66)	(44, 35)
push-button	Split Window	""			(1254, 66)	(33, 35)
toggle-button	Draw Functions	""			(1295, 66)	(33, 35)
text		等线			(74, 130)	(185, 34)
text		11 pt			(303, 130)	(65, 34)
toggle-button	Bold	""			(412, 105)	(33, 35)
toggle-button	Italic	""			(445, 105)	(33, 35)
push-button	Underline	""			(478, 105)	(44, 35)
push-button	Font Color	""			(530, 105)	(44, 35)
push-button	Background Color	""			(574, 105)	(44, 35)
push-button	Align Left	""			(626, 105)	(33, 35)
push-button	Align Center	""			(659, 105)	(33, 35)
push-button	Align Right	""			(692, 105)	(33, 35)
push-button	Align Top	""			(733, 105)	(33, 35)
push-button	Center Vertically	""			(766, 105)	(33, 35)
push-button	Align Bottom	""			(799, 105)	(33, 35)
push-button	Wrap Text	""			(840, 105)	(33, 35)
push-button	Currency	""			(988, 105)	(44, 35)
push-button	Percent	""			(1032, 105)	(33, 35)
push-button	Number	""			(1065, 105)	(33, 35)
push-button	Date	""			(1098, 105)	(33, 35)
push-button	Add Decimal Place	""			(1139, 105)	(33, 35)
push-button	Delete Decimal Place	""			(1172, 105)	(33, 35)
push-button	Increase	""			(1213, 105)	(33, 35)
push-button	Decrease	""			(1246, 105)	(33, 35)
push-button	Borders (Shift to overwrite)	""			(1287, 105)	(44, 35)
push-button	Border Style	""			(1331, 105)	(44, 35)
push-button	Border Color	""			(1375, 105)	(44, 35)
push-button	Conditional	""			(1427, 105)	(44, 35)
label		Sheet 1 of 1			(76, 1036)	(271, 18)
label		PageStyle_Sheet1			(630, 1036)	(312, 18)
label		English (Hong Kong)			(948, 1036)	(312, 18)
label		Average: ; Sum: 0			(1421, 1036)	(306, 18)
label		100%			(1876, 1036)	(38, 18)
radio-button	Before current sheet	""			(726, 354)	(551, 22)
radio-button	After current sheet	""			(726, 382)	(551, 22)
label	Position	Position			(714, 331)	(58, 17)
radio-button	New sheet	""			(726, 439)	(551, 22)
text		Sheet2			(843, 507)	(434, 34)
spin-button		1			(843, 467)	(120, 34)
label	Name:	Name:			(738, 507)	(93, 34)
label	No. of sheets:	No. of sheets:			(738, 467)	(93, 34)
radio-button	From file	""			(726, 547)	(551, 22)
label	Sheet	Sheet			(714, 416)	(43, 17)
push-button	Help	""			(714, 778)	(86, 34)
push-button	Cancel	""			(1101, 778)	(86, 34)
push-button	OK	""			(1191, 778)	(86, 34)
